Name,Address,Neighborhood,Garden Leader,Organization URL,Contact Name,Contact Phone,Contact Email,lat,long
Adams Park,"3760 N 2nd St, Milwaukee, WI",Harambee,Riverworks Development Corporation,https://www.riverworksmke.org/,NA,NA,NA,43.08575642,-87.9118227
Harambee Tot Lot,"129 E Keefe Ave, Milwaukee, WI",Harambee,Riverworks Development Corporation,https://www.riverworksmke.org/,NA,NA,NA,43.08267914,-87.90955582
Tranquility on the Trail,"Townsend Ave & Holton St, Milwaukee, WI",Harambee,Riverworks Development Corporation,https://www.riverworksmke.org/,NA,NA,NA,43.08038816,-87.90502654
The Belonging Place,"3295 N Doctor M.L.K. Jr Dr, Milwaukee, WI",Harambee,Solomon Community Temple,https://solomoncommunitytemple.org/,NA,NA,NA,43.07881355,-87.91648747
Peace Place Park and Garden,"3240 N Doctor M.L.K. Jr Dr, Milwaukee, WI",Harambee,HeartLove Place,https://heartloveplace.org/,NA,NA,NA,43.07769956,-87.91471001
Promising Harambee,"3123 N Buffum St, Milwaukee, WI",Harambee,Harambee Neighborhood Improvement District #7,https://www.facebook.com/groups/566268983527800/,NA,NA,NA,43.07549806,-87.90682045
Sculpture Garden,"2868 N Richards St, Milwaukee, WI",Harambee,Cory M.,NA,NA,NA,NA,43.07118314,-87.90739195
Meditation Meadow,"2571 N. 2nd Street, Milwaukee, WI",Harambee,All Peoples Church,https://allpeoplesgathering.org/,NA,NA,NA,43.06605412,-87.91307822
Island Relaxation,"2470 N 1st St, Milwaukee, WI",Harambee,Melissa W,NA,NA,NA,NA,43.06425128,-87.91057001
Seniors Transforming the Neighborhood,"2475 N 5th Street, Milwaukee, WI",Harambee,Northcott Neighborhood House,https://northcotthouse.org/,"Elizabeth Coggs, Director of Operations",(414) 372-3770 x1002,ecoggs@northcotthouse.org,43.06414382,-87.91737335
Roosevelt Grove Healing Garden,"3426 N 38th St, Milwaukee, WI",Roosevelt Grove,Pilgrim Rest Missionary Baptist Church,https://pilgrimrestmilwaukee.org/,"Linda Griffin, Administrator",(414) 873-1045,pilgchurch@sbcglobal.net,43.08180032,-87.96042337
Picking Up the Pieces,"2652 North 36th Street, Milwaukee, WI",Metcalfe Park,Metcalfe Park Community Bridges,NA,"Melody McCurtis, Deputy Director/Organizer",(414) 544-2956,mmccurtis@metcalfepark.org,43.0674158,-87.95838337
Art Lot Music,"1601 N 35th St, Milwaukee, WI",Washington Park,Rooted and Rising - Washington Park,https://www.rootedandrisingwp.org/,"Rosalind Cox, Community Member",(414) 897-8552,rcox828@gmail.com,43.05181402,-87.95786364
Bumblebee Haven,"1439 West Mitchell Street, Milwaukee, WI",Historic Mitchell Street,Bumblebee Gardeners,NA,Claribel Morales,NA,NA,43.0122675,-87.93052128
Polonia Peace Park,"1020 East Montana Street, Milwaukee, WI",Polonia,Polonia/Morgandale Block Watch,NA,Ricky Heldt,NA,NA,42.99409534,-87.92635127
