"DATEOPENED","ADDRFULLLINE","LANDUSE","PARCELNBR","VALUEIMPROVED","AldermanicDistrict","ZipCode","CensusTract","Neighborhood","lat","long","CrimeCount_2023_Property","CrimeCount_2023_Violent","NA."
"2024-04-04T00:00:00Z","3813 W WRIGHT ST",8810,3271003000,35700,15,53210,9000,2380,43.06411885,-87.9615721603298,5,49,0
"2021-11-19T00:00:00Z","5259 N TEUTONIA AV",8880,1930713000,65700,1,53209,2100,1160,43.11315685,-87.95042975,12,43,0
"2021-02-01T00:00:00Z","938 N 28TH ST",8810,3881214100,109900,4,53208,13600,2300,43.04255685,-87.9487026498967,3,43,0
"2022-08-17T00:00:00Z","5249 N TEUTONIA AV",8810,1930711000,80800,1,53209,2100,1160,43.1129526,-87.9504050645668,12,42,0
"2023-05-01T00:00:00Z","2564 N 35TH ST",8810,3261512000,49700,15,53210,8900,2400,43.06570005,-87.9572113571283,9,41,0
"2024-02-14T00:00:00Z","2627 -A N 35TH ST",8820,3271532000,65500,15,53210,6200,2400,43.06675725,-87.9577123577903,9,41,0
"2022-04-28T00:00:00Z","807/815 W CLARKE ST",8830,3231472000,149000,15,53206,8400,6702,43.0660854,-87.95685535,8,40,0
"2023-01-17T00:00:00Z","1932/1934 W CLARKE ST",8820,3240933000,77300,15,53206,8600,2940,43.0660854,-87.95685535,8,40,0
"2023-07-27T00:00:00Z","2729/2731 W CLARKE ST",8820,3260187100,66700,15,53210,8800,2420,43.0660854,-87.95685535,8,40,0
"2023-07-18T00:00:00Z","608 N 30TH ST",8830,4011603000,69300,10,53208,13400,6740,43.037816,-87.9512877753505,15,40,0
"2021-02-25T00:00:00Z","2151 N 38TH ST",8810,3480997000,62400,15,53208,9000,2380,43.05863055,-87.961392969785,13,39,0
"2023-07-20T00:00:00Z","4381 N 26TH ST",8810,2310091000,68700,1,53209,4200,1500,43.09698205,-87.9460247672677,6,38,0
"2020-10-30T00:00:00Z","2209 W GREENFIELD AV",8880,4590188000,70800,8,53204,16300,4100,43.016845,-87.9412874950671,7,38,0
"2022-11-01T00:00:00Z","5811 W THURSTON AV",8810,1730131000,80600,1,53218,1200,960,43.12011395,-87.9853380549085,5,37,0
"2023-03-21T00:00:00Z","3930 W FAIRMOUNT AV",8810,2080215000,65800,1,53209,2500,1440,43.1084431,-87.962511700762,8,37,0
"2024-02-14T00:00:00Z","2520 -A N 40TH ST",8820,3270719000,72400,15,53210,6200,2380,43.06475675,-87.963146311494,5,37,0
"2023-05-01T00:00:00Z","2640 N 36TH ST",8810,3271517000,67200,15,53210,6200,2380,43.0670192,-87.9584216202119,6,37,0
"2023-05-01T00:00:00Z","2617 N 35TH ST",8810,3271529000,33000,15,53210,6200,2400,43.0665123,-87.9576402495782,8,37,0
"2024-10-14T00:00:00Z","2646 N 35TH ST",8820,3261432100,62100,15,53210,8900,2400,43.06714885,-87.95717221715,7,36,0
"2024-02-14T00:00:00Z","2540 N 40TH ST",8810,3270723000,52500,15,53210,6200,2380,43.06520555,-87.9631498837515,11,36,0
"2021-02-23T00:00:00Z","2644 N 36TH ST",8820,3271516000,24100,15,53210,6200,2380,43.0670869,-87.9584010248868,6,36,0
"2022-04-13T00:00:00Z","1930 N 39TH ST",8810,3480294000,70300,15,53208,9600,2380,43.05594185,-87.9621108764958,8,36,0
"2020-10-28T00:00:00Z","2825 W JUNEAU AV",8810,3881506000,64600,4,53208,13600,2300,43.0456832,-87.9496645016889,10,36,0
"2024-05-09T00:00:00Z","5178 N TEUTONIA AV",8810,1930429000,85800,1,53209,2400,1200,43.11139885,-87.94961185,5,35,0
"2019-10-08T00:00:00Z","3835 W FAIRMOUNT AV",8810,2080619000,98100,1,53209,2500,1440,43.10808135,-87.961317448833,8,35,0
"2024-04-15T00:00:00Z","2654 N 49TH ST",8820,3280428000,101500,15,53210,6000,2520,43.067318,-87.9746993273196,17,35,0
"2024-09-09T00:00:00Z","2557 N 44TH ST",8820,3280764000,101700,15,53210,6100,2520,43.06552125,-87.9690969751695,3,35,0
"2021-01-28T00:00:00Z","2519 N 44TH ST",8810,3280771000,71800,15,53210,6100,2520,43.06474985,-87.9690904034406,5,35,0
"2023-08-21T00:00:00Z","5605 N 95TH ST",8810,1780255000,109500,2,53225,502,1020,43.119775,-88.0310870752841,7,34,0
"2023-09-05T00:00:00Z","3341 N RICHARDS ST",8810,2820908000,67000,6,53212,6900,2900,43.0793858,-87.9078104790668,10,34,0
"2022-12-08T00:00:00Z","3906 W BURLEIGH ST",8810,2870788000,27500,7,53210,4800,1780,43.07536885,-87.9624019649751,6,34,0
"2022-08-11T00:00:00Z","2425 N 39TH ST",8880,3270593000,28800,15,53210,9000,2380,43.06302735,-87.962533839903,4,34,0
"2023-09-23T00:00:00Z","2571 N 39TH ST",8820,3270702000,0,15,53210,6200,NA,43.06586175,-87.9624993486759,8,34,0
"2023-08-29T00:00:00Z","2473 N 37TH ST",8810,3270902000,61200,15,53210,9000,2380,43.06403965,-87.9601003470077,5,34,0
